playlist_index|video_id|video_title
1|HrUiFT6nYO0|Sword Beams!
2|lgke4Ffy1C0|So Many Secrets!
3|FgblknBg4ik|Level 2
4|PqlvPQivyRs|Working Audio!
5|nXnlXHfjZ9o|Water Rafting
6|-qNuUJkmsrQ|Little Mermaid
7|PjWIwLiUWw4|Minor Brainfarts
8|cOwGloufrvU|Wizzrobes!
9|JduleDUMem8|Secret in the Lake
10|U4GK5BJsY_s|Triforce Complete!
11|n6_UiEK48gw|Death Mountain
12|3R7IPwtwYTg|DEATH Mountain
13|GbjphYo7DFs|First Quest FINALE!
14|ehjZ_MqjMM8|Second Quest
15|We1kgA9pe_U|Collectathon!
16|uOmsXu0iyh4|Bad Jokes
17|TzbLpMliaSA|Hardest Dungeon
18|myAuhQXqU_s|Actually Hard Dungeon
19|Fn_pTluECQg|Ovaltine Problems
20|23VpSUCizu4|I Don't Like Like Likes
21|EhuIv1A4YbY|Blue Darknuts
22|B2MjvrspyXM|Bombing Dodongos
23|TWPdpuN0KzM|FINALE!
